Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Status
prod-garden-decor-garden-furniture-001,Timeless Acacia Bench,<p>A timeless acacia bench designed for reliable everyday use.</p>,ecomgen,garden-furniture,garden-furniture,TRUE,Color,Natural,GARDEN-DECOR-GARDEN-FURNITURE-001-COLOR-NATURAL,shopify,36,deny,manual,479.00,active
prod-garden-decor-garden-furniture-001,,,,,,,Color,Olive,GARDEN-DECOR-GARDEN-FURNITURE-001-COLOR-OLIVE,shopify,241,deny,manual,479.00,
prod-garden-decor-garden-furniture-001,,,,,,,Color,Graphite,GARDEN-DECOR-GARDEN-FURNITURE-001-COLOR-GRAPHITE,shopify,124,deny,manual,479.00,
prod-garden-decor-garden-furniture-002,Modular Acacia Bench,<p>A modular acacia bench designed for reliable everyday use.</p>,ecomgen,garden-furniture,garden-furniture,TRUE,Material,Acacia,GARDEN-DECOR-GARDEN-FURNITURE-002-MATERIAL-ACACIA,shopify,193,deny,manual,589.00,active
prod-garden-decor-garden-furniture-002,,,,,,,Material,Metal,GARDEN-DECOR-GARDEN-FURNITURE-002-MATERIAL-METAL,shopify,195,deny,manual,589.00,
prod-garden-decor-garden-furniture-002,,,,,,,Material,Rattan,GARDEN-DECOR-GARDEN-FURNITURE-002-MATERIAL-RATTAN,shopify,65,deny,manual,589.00,
prod-garden-decor-garden-furniture-003,Modular Metal Garden Set,<p>A modular metal garden set designed for reliable everyday use.</p>,ecomgen,garden-furniture,garden-furniture,TRUE,Color,Natural,GARDEN-DECOR-GARDEN-FURNITURE-003-COLOR-NATURAL,shopify,134,deny,manual,287.00,active
prod-garden-decor-garden-furniture-003,,,,,,,Color,Olive,GARDEN-DECOR-GARDEN-FURNITURE-003-COLOR-OLIVE,shopify,32,deny,manual,287.00,
prod-garden-decor-garden-furniture-003,,,,,,,Color,Graphite,GARDEN-DECOR-GARDEN-FURNITURE-003-COLOR-GRAPHITE,shopify,146,deny,manual,287.00,
prod-garden-decor-garden-furniture-004,Relaxed Rattan Garden Set,<p>A relaxed rattan garden set designed for reliable everyday use.</p>,ecomgen,garden-furniture,garden-furniture,TRUE,Material,Acacia,GARDEN-DECOR-GARDEN-FURNITURE-004-MATERIAL-ACACIA,shopify,174,deny,manual,167.00,active
prod-garden-decor-garden-furniture-004,,,,,,,Material,Metal,GARDEN-DECOR-GARDEN-FURNITURE-004-MATERIAL-METAL,shopify,228,deny,manual,167.00,
prod-garden-decor-garden-furniture-004,,,,,,,Material,Rattan,GARDEN-DECOR-GARDEN-FURNITURE-004-MATERIAL-RATTAN,shopify,189,deny,manual,167.00,
prod-garden-decor-garden-furniture-005,Relaxed Rattan Side Table,<p>A relaxed rattan side table designed for reliable everyday use.</p>,ecomgen,garden-furniture,garden-furniture,TRUE,Color,Natural,GARDEN-DECOR-GARDEN-FURNITURE-005-COLOR-NATURAL,shopify,115,deny,manual,288.00,active
prod-garden-decor-garden-furniture-005,,,,,,,Color,Olive,GARDEN-DECOR-GARDEN-FURNITURE-005-COLOR-OLIVE,shopify,93,deny,manual,288.00,
prod-garden-decor-garden-furniture-005,,,,,,,Color,Graphite,GARDEN-DECOR-GARDEN-FURNITURE-005-COLOR-GRAPHITE,shopify,224,deny,manual,288.00,
prod-garden-decor-garden-furniture-006,Modular Rattan Garden Set,<p>A modular rattan garden set designed for reliable everyday use.</p>,ecomgen,garden-furniture,garden-furniture,TRUE,Material,Acacia,GARDEN-DECOR-GARDEN-FURNITURE-006-MATERIAL-ACACIA,shopify,127,deny,manual,291.00,active
prod-garden-decor-garden-furniture-006,,,,,,,Material,Metal,GARDEN-DECOR-GARDEN-FURNITURE-006-MATERIAL-METAL,shopify,199,deny,manual,291.00,
prod-garden-decor-garden-furniture-006,,,,,,,Material,Rattan,GARDEN-DECOR-GARDEN-FURNITURE-006-MATERIAL-RATTAN,shopify,65,deny,manual,291.00,
prod-garden-decor-garden-furniture-007,Timeless Metal Garden Set,<p>A timeless metal garden set designed for reliable everyday use.</p>,ecomgen,garden-furniture,garden-furniture,TRUE,Color,Natural,GARDEN-DECOR-GARDEN-FURNITURE-007-COLOR-NATURAL,shopify,178,deny,manual,343.00,active
prod-garden-decor-garden-furniture-007,,,,,,,Color,Olive,GARDEN-DECOR-GARDEN-FURNITURE-007-COLOR-OLIVE,shopify,130,deny,manual,343.00,
prod-garden-decor-garden-furniture-007,,,,,,,Color,Graphite,GARDEN-DECOR-GARDEN-FURNITURE-007-COLOR-GRAPHITE,shopify,93,deny,manual,343.00,
prod-garden-decor-garden-furniture-008,Relaxed Metal Side Table,<p>A relaxed metal side table designed for reliable everyday use.</p>,ecomgen,garden-furniture,garden-furniture,TRUE,Material,Acacia,GARDEN-DECOR-GARDEN-FURNITURE-008-MATERIAL-ACACIA,shopify,175,deny,manual,209.00,active
prod-garden-decor-garden-furniture-008,,,,,,,Material,Metal,GARDEN-DECOR-GARDEN-FURNITURE-008-MATERIAL-METAL,shopify,235,deny,manual,209.00,
prod-garden-decor-garden-furniture-008,,,,,,,Material,Rattan,GARDEN-DECOR-GARDEN-FURNITURE-008-MATERIAL-RATTAN,shopify,116,deny,manual,209.00,
prod-garden-decor-garden-furniture-009,Modular Metal Side Table,<p>A modular metal side table designed for reliable everyday use.</p>,ecomgen,garden-furniture,garden-furniture,TRUE,Color,Natural,GARDEN-DECOR-GARDEN-FURNITURE-009-COLOR-NATURAL,shopify,164,deny,manual,171.00,active
